user	date	lon	lat	geoprivacy
Benoît Prieur	2004	-56.152812	-34.8754122	open
Benoît Prieur	2010	1.442951	43.59703399	open
Benoît Prieur	2005-08	113.034512	23.191807	open
Benoît Prieur	2009-06-05	4.831213	45.722453	open
Benoît Prieur	2008-10-02 12:20:26	14.51233333	35.89486111	open
Benoît Prieur	2009-06-05 20:50:46	4.831213	45.722453	open
Benoît Prieur	2011-10-12	4.826	45.74633333	open
Benoît Prieur	2011-10-27	4.82333333	45.74566667	open
Benoît Prieur	2012-02-19	4.98666667	45.82733333	open
Benoît Prieur	2012-02-19	4.98666667	45.82733333	open
Benoît Prieur	2012-04-08	3.32752778	47.56261944	open
Benoît Prieur	2012-04-08	3.32643611	47.56453611	open
Benoît Prieur	2012-03-08	5.05783333	45.84783333	open
Benoît Prieur	2012-03-06	5.00683333	45.834	open
Benoît Prieur	2012-03-06	5.00716667	45.834	open
Benoît Prieur	2011-02-01	-0.3485	49.17633333	open
Benoît Prieur	2012-02-16	4.8825	45.7805	open
Benoît Prieur	2012-02-19	4.97833333	45.82666667	open
Benoît Prieur	2012-02-28	4.9205	45.80817	open
Benoît Prieur	2012-02-28	4.9205	45.80816667	open
Benoît Prieur	2012-02-28	4.91866667	45.808	open
Benoît Prieur	2012-02-28	4.92016667	45.80816667	open
Benoît Prieur	2012-03-06	4.93216667	45.81516667	open
Benoît Prieur	2012-02	4.86383333	45.7705	open
Benoît Prieur	2012-03-01	4.95316667	45.82233333	open
Benoît Prieur	2009-04-21	4.8408	45.782167	open
Benoît Prieur	2012-03-06	4.96683333	45.82966667	open
Benoît Prieur	2013-02-19	4.9805	45.82833333	open
Benoît Prieur	2011-06-11 16:54:19	4.98116667	45.82666667	open
Benoît Prieur	2012-02-15	4.98583333	45.83266667	open
Benoît Prieur	2012-02-15	4.979	45.829	open
Benoît Prieur	2012-02-16	4.98883333	45.824	open
Benoît Prieur	2012-02-29	4.97883333	45.8265	open
Benoît Prieur	2012-02-25	4.95683333	45.82733333	open
Benoît Prieur	2011-06-24 18:21:34	4.954	45.82466667	open
Benoît Prieur	2012-02-19	4.981	45.82766667	open
Benoît Prieur	2011-10-08	4.82660833	45.79454167	open
Benoît Prieur	2012-03-04	4.98116667	45.82683333	open
Benoît Prieur	2004	-54.03121	5.50392	open
Benoît Prieur	2012-02-15	4.95083333	45.82416667	open
Benoît Prieur	2011-12-11	5.31266667	46.06516667	open
Benoît Prieur	2012-01-05	4.85966667	45.76	open
Benoît Prieur	2012-01-05	2.35516667	48.85766667	open
Benoît Prieur	2012-01-06	-0.3725	49.19116667	open
Benoît Prieur	2012-01-06	-0.3645	49.18966667	open
Benoît Prieur	2012-01-05	4.97766667	45.8275	open
Benoît Prieur	2012-01-06	-0.36483333	49.1905	open
Benoît Prieur	2012-01-09	4.82616667	45.7485	open
Benoît Prieur	2012-01-09	4.82533333	45.74816667	open
Benoît Prieur	2012-02-07	4.92816667	45.81416667	open
Benoît Prieur	2012-02-07	4.97683333	45.82633333	open
Benoît Prieur	2012-02-07	4.93083333	45.814	open
Benoît Prieur	2012-02-07	4.93116667	45.82016667	open
Benoît Prieur	2012-02-15	4.93216667	45.81466667	open
Benoît Prieur	2012-02-15	4.94016667	45.8155	open
Benoît Prieur	2012-02-15	4.94033333	45.81566667	open
Benoît Prieur	2012-02-15	4.94033333	45.81566667	open
